% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 15:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.6E-11                    ewfd.normE (V/m) @ lambda=1.6E-11
0                         4.956865432025667E-8     2.0921723212797374E-7    -847452.1825789677-3609250.4587366213i            4525630.406667087
0                         4.956865432025667E-8     2.2741003492171056E-7    -1058254.0371797015-4240574.975674723i            4558938.896933284
0                         4.956865432025667E-8     2.456028377154475E-7     -1200025.3619650537-4764197.250480266i            5142979.456848988
0                         4.956865432025667E-8     2.637956405091843E-7     -1359135.13783031-5184551.610568603i              5651338.73932751
0                         4.956865432025667E-8     2.819884433029211E-7     -1354786.531319371-5438651.339085602i             5873557.627901744
0                         4.956865432025667E-8     3.0018124609665805E-7    -1359764.7142111263-5448090.8083587745i           5873293.214907046
0                         4.956865432025667E-8     3.1837404889039487E-7    -1366393.9523298852-5333391.958124641i            5763545.2642104495
0                         4.956865432025667E-8     3.365668516841317E-7     -1203114.6759658512-4943232.886668081i            5626738.942678749
0                         4.956865432025667E-8     3.547596544778685E-7     -1041429.9104321089-4353743.7847312745i           5076280.825546648
0                         4.956865432025667E-8     3.7295245727160544E-7    -866710.0895287297-3683784.6075735935i            4477758.132830522
0                         4.956865432025667E-8     3.9114526006534226E-7    -678955.2132557111-2933355.355195043i             3853832.5337817445
0                         4.956865432025667E-8     4.093380628590791E-7     -413651.612008586-1906756.1575227894i             3078090.340022355
0                         4.956865432025667E-8     4.27530865652816E-7      -159358.71373225306-904806.7009107978i            2542512.754774772
0                         4.956865432025667E-8     4.457236684465528E-7     90690.44728572041+167351.4484216416i              2380697.522942453
0                         6.609153909367556E-8     -4.457236684465528E-7    -93653.59734509487-162589.93079686537i            3084462.0781165427
0                         6.609153909367556E-8     -4.2753086565281595E-7   -530543.3427594139-1567570.1500382153i            3583786.0843301695
0                         6.609153909367556E-8     -4.0933806285907913E-7   -734986.9199290255-2427014.05879775i              4031192.432745837
0                         6.609153909367556E-8     -3.9114526006534226E-7   -927092.4144736693-3200537.256716161i             4554272.883565176
0                         6.609153909367556E-8     -3.7295245727160544E-7   -1106859.8263933398-3888139.743793439i            5087357.819797283
0                         6.609153909367556E-8     -3.5475965447786856E-7   -1274289.1556880395-4489821.5200295895i           5593170.2414149195
0                         6.609153909367556E-8     -3.365668516841317E-7    -1445919.1237617831-5029595.352204415i            6103979.221224766
0                         6.609153909367556E-8     -3.1837404889039487E-7   -1587078.2195618856-5308026.589655614i            6339206.532990186
0                         6.609153909367556E-8     -3.0018124609665805E-7   -1674386.2283507104-5376635.194677408i            6312541.054747428
0                         6.609153909367556E-8     -2.819884433029212E-7    -1744975.7871639873-5326255.19378081i             6194918.213961805
0                         6.609153909367556E-8     -2.637956405091843E-7    -1798846.896001718-5156886.586965823i             5980600.610504463
0                         6.609153909367556E-8     -2.456028377154475E-7    -1503286.7043149627-4787134.863177554i            5614181.7279433925
0                         6.609153909367556E-8     -2.2741003492171061E-7   -1336554.576568912-4217364.645200475i             5163256.02118895
0                         6.609153909367556E-8     -2.0921723212797377E-7   -1165878.8390420887-3620915.777143306i            4500437.187669632
0                         6.609153909367556E-8     -1.9102442933423692E-7   -1214252.1653433526-2876641.062097894i            3886023.4939494976
0                         6.609153909367556E-8     -1.728316265405001E-7    -1289808.3398913639-2190515.232272343i            3380467.752931377
0                         6.609153909367556E-8     -1.5463882374676323E-7   -1393200.0577784602-1563940.163847889i            3002161.848425452
0                         6.609153909367556E-8     -1.3644602095302636E-7   -1525105.7850370922-998373.2188386321i            2767112.9432728393
0                         6.609153909367556E-8     -1.1825321815928954E-7   -1686231.1988255554-495330.35207965405i           2679608.7894743243
0                         6.609153909367556E-8     -1.0006041536555267E-7   -1406746.8732257066-229530.27715834888i           2590257.462472782
0                         6.609153909367556E-8     -8.186761257181585E-8    -1235386.4775857977+11643.181285505561i           2359484.5771814915
0                         6.609153909367556E-8     -6.367480977807897E-8    -1202153.9886354345+195576.5682447471i            2269938.5583612556
0                         6.609153909367556E-8     -4.5482006984342155E-8   -1201383.4100338735+345968.36325710354i           2236005.069931992
0                         6.609153909367556E-8     -2.7289204190605282E-8   -1233074.741781116+462818.5663225751i             2253373.2176948334
0                         6.609153909367556E-8     -9.09640139686841E-9     -1299616.0262665958+471812.4757402332i            2344848.003201326
0                         6.609153909367556E-8     9.09640139686841E-9      -1256120.617346518+432689.2223988002i             2291507.564073126
0                         6.609153909367556E-8     2.7289204190605282E-8    -1049362.5042609589+449812.03527984244i           2020836.560739454
0                         6.609153909367556E-8     4.5482006984342155E-8    -1030551.7779309574+312102.26601118216i           2006305.7524140445
0                         6.609153909367556E-8     6.367480977807897E-8     -1135405.5168430242+178410.65244166166i           2188010.242840303
0                         6.609153909367556E-8     8.18676125718158E-8      -1095539.8454223627-75576.37433726207i            2171321.187680492
0                         6.609153909367556E-8     1.0006041536555261E-7    -1161411.2038242538-395205.4989153897i            2320557.698339154
0                         6.609153909367556E-8     1.1825321815928954E-7    -1077929.7383468077-756064.5723135022i            2403978.2519842624
0                         6.609153909367556E-8     1.3644602095302636E-7    -1014259.9937330595-1160451.1912163855i           2588613.2256587334
0                         6.609153909367556E-8     1.5463882374676318E-7    -970401.9699830068-1608365.355624038i             2873510.0723006106
0                         6.609153909367556E-8     1.728316265405001E-7     -997441.9540514946-2196626.3516103625i            3375244.616593504
0                         6.609153909367556E-8     1.9102442933423692E-7    -921767.0739383706-2891533.053413595i             4071046.8890369353
0                         6.609153909367556E-8     2.0921723212797374E-7    -856499.6647444516-3656301.8954856875i            4881975.873047958
0                         6.609153909367556E-8     2.2741003492171056E-7    -1137231.251594806-4230842.607167832i             4720708.535725382
0                         6.609153909367556E-8     2.456028377154475E-7     -1273405.4274494753-4740813.107103109i            5289242.8889955
0                         6.609153909367556E-8     2.637956405091843E-7     -1425923.8021005536-5149657.788950208i            5783651.24390489
0                         6.609153909367556E-8     2.819884433029211E-7     -1595039.191540057-5455894.467250782i             6203035.416027473
0                         6.609153909367556E-8     3.0018124609665805E-7    -1440935.7888984715-5483898.38250898i             6112912.780974034
0                         6.609153909367556E-8     3.1837404889039487E-7    -1446125.7592758955-5367057.178525595i            6001315.70364824
0                         6.609153909367556E-8     3.365668516841317E-7     -1234848.8023542976-4933560.760027382i            5955012.308164522
0                         6.609153909367556E-8     3.547596544778685E-7     -1064978.5087491684-4339154.183815553i            5429806.868416182
0                         6.609153909367556E-8     3.7295245727160544E-7    -882073.1597744026-3664277.5323828505i            4867764.647411128
0                         6.609153909367556E-8     3.9114526006534226E-7    -686132.7554299985-2908930.8057292807i            4295389.1026970325
0                         6.609153909367556E-8     4.093380628590791E-7     -477157.2957159549-2073114.0038548396i            3760492.4114339543
0                         6.609153909367556E-8     4.27530865652816E-7      -255146.78063227131-1156827.1267595228i           3346987.5293055363
0                         6.609153909367556E-8     4.457236684465528E-7     93653.5973450969+162589.93079687192i              3092778.153249809
